fight_id,fighter_id,fight_date,fighter,opponent,result,DECISION,round_finished,finish_time,event
1,1,2025-06-29,"Ilia Topuria","Charles Oliveira",Win,KO/TKO,1,2:27,"UFC 317: Topuria vs. Oliveira"
2,1,2024-10-26,"Ilia Topuria","Max Holloway",Win,KO/TKO,3,1:34,"UFC 308: Topuria vs. Holloway"
3,1,2024-02-18,"Ilia Topuria","Alexander Volkanovski",Win,KO/TKO,2,3:32,"UFC 298: Volkanovski vs. Topuria"
4,1,2023-06-24,"Ilia Topuria","Josh Emmett",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Emmett vs. Topuria"
5,1,2022-12-11,"Ilia Topuria","Bryce Mitchell",Win,Submission,2,3:10,"UFC 282: Blachowicz vs. Ankalaev"
6,1,2022-03-19,"Ilia Topuria","Jai Herbert",Win,KO/TKO,2,1:07,"UFC Fight Night: Volkov vs. Aspinall"
7,1,2021-07-11,"Ilia Topuria","Ryan Hall",Win,KO/TKO,1,4:47,"UFC 264: Poirier vs. McGregor 3"
8,1,2020-12-06,"Ilia Topuria","Damon Jackson",Win,KO/TKO,1,2:38,"UFC Fight Night: Hermansson vs. Vettori"
9,1,2020-10-11,"Ilia Topuria","Youssef Zalal",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Moraes vs. Sandhagen"
10,1,2019-11-15,"Ilia Topuria","Stephen Goncalves",Win,KO,1,3:42,"Brave CF 29"
11,1,2019-09-07,"Ilia Topuria","Luis Gomez",Win,"Submission (Triangle Armbar)",1,1:15,"Brave CF 26"
12,1,2018-06-16,"Ilia Topuria","Brian Bouland",Win,"Submission (Anaconda Choke)",1,1:39,"CW 94: Bouland vs. Topuria"
13,1,2018-04-28,"Ilia Topuria","Mika Hamalainen",Win,"Submission (Guillotine)",1,3:35,"CAGE 43: Cage MMA Finland 43"
14,1,2016-11-05,"Ilia Topuria","Jhon Guarin",Win,"Submission (Guillotine)",2,2:50,"MFE: Mix Fight Events"
15,1,2016-05-07,"Ilia Topuria","Daniel Vasquez",Win,"Submission (Rear Naked Choke)",1,1:50,"MFE: Mix Fight Events"
16,1,2015-05-09,"Ilia Topuria","Kalil Martin El Chalibi",Win,"Submission (Rear Naked Choke)",1,1:03,"Climent Club: Climent Show MMA 4"
17,1,2015-04-04,"Ilia Topuria","Francisco Javier Asprilla",Win,"Submission (Triangle Choke)",1,3:30,"WCW: West Coast Warriors"
18,2,2025-06-08,"Merab Dvalishvili","Sean O'Malley",Win,Submission,3,4:42,"UFC 316: Dvalishvili vs. O'Malley 2"
19,2,2025-01-19,"Merab Dvalishvili","Umar Nurmagomedov",Win,"Decision - Unanimous",5,5:00,"UFC 311: Makhachev vs. Moicano"
20,2,2024-09-15,"Merab Dvalishvili","Sean O'Malley",Win,"Decision - Unanimous",5,5:00,"UFC 306 – Riyadh Season Noche UFC: O'Malley vs. Dvalishvili"
21,2,2024-02-18,"Merab Dvalishvili","Henry Cejudo",Win,"Decision - Unanimous",3,5:00,"UFC 298: Volkanovski vs. Topuria"
22,2,2023-03-12,"Merab Dvalishvili","Petr Yan",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Yan vs. Dvalishvili"
23,2,2022-08-21,"Merab Dvalishvili","José Aldo",Win,"Decision - Unanimous",3,5:00,"UFC 278: Usman vs. Edwards 2"
24,2,2021-09-26,"Merab Dvalishvili","Marlon Moraes",Win,KO/TKO,2,4:25,"UFC 266: Volkanovski vs. Ortega"
25,2,2021-05-02,"Merab Dvalishvili","Cody Stamann",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Reyes vs. Prochazka"
26,2,2020-08-16,"Merab Dvalishvili","John Dodson",Win,"Decision - Unanimous",3,5:00,"UFC 252: Miocic vs. Cormier 3"
27,2,2020-06-14,"Merab Dvalishvili","Gustavo Lopez",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Eye vs. Calvillo"
28,2,2020-02-16,"Merab Dvalishvili","Casey Kenney",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Anderson vs. Blachowicz 2"
29,2,2019-05-05,"Merab Dvalishvili","Brad Katona",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Iaquinta vs. Cowboy"
30,2,2018-09-15,"Merab Dvalishvili","Terrion Ware",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Hunt vs. Oleinik"
31,2,2018-04-22,"Merab Dvalishvili","Ricky Simon",Loss,Submission,3,5:00,"UFC Fight Night: Barboza vs. Lee"
32,2,2017-12-09,"Merab Dvalishvili","Frankie Saenz",Loss,"Decision - Split",3,5:00,"UFC Fight Night: Swanson vs. Ortega"
33,2,2017-06-02,"Merab Dvalishvili","Raufeon Stots",Win,"KO (Spinning Back Fist)",1,0:15,"ROC 59: Ring of Combat 59"
34,2,2017-02-24,"Merab Dvalishvili","Suhrob Aydarbekov",Win,"Submission (Armbar)",2,4:14,"ROC 58: Ring of Combat 58"
35,2,2016-11-18,"Merab Dvalishvili","Tony Gravely",Win,Decision,3,5:00,"ROC 57: Ring of Combat 57"
36,2,2016-09-23,"Merab Dvalishvili","Paul Grant",Win,"Decision - Unanimous",3,4:00,"ROC 56: Ring of Combat 56"
37,2,2016-06-10,"Merab Dvalishvili","Matt Tullos",Win,"Decision - Unanimous",3,5:00,"CES MMA 36: Andrews vs. Muro"
38,2,2016-04-01,"Merab Dvalishvili","Geoffrey Then",Win,"Decision - Unanimous",3,5:00,"CES MMA 34: Curtis vs. Burrell"
39,2,2014-11-01,"Merab Dvalishvili","Ricky Bandejas",Loss,"Decision - Unanimous",3,5:00,"CFFC 43: Webb vs. Good"
40,2,2014-09-19,"Merab Dvalishvili","Dennis Dombrow",Win,KO/TKO,3,0:50,"ROC 49: Ring of Combat 49"
41,2,2014-01-24,"Merab Dvalishvili","Darren Mima",Loss,"Decision - Majority",3,4:00,"ROC 47: Ring of Combat 47"
42,3,2025-04-27,"Giga Chikadze","David Onama",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Machado Garry vs. Prates"
43,3,2024-07-28,"Giga Chikadze","Arnold Allen",Loss,"Decision - Unanimous",3,5:00,"UFC 304: Edwards vs. Muhammad 2"
44,3,2023-08-26,"Giga Chikadze","Alex Caceres",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Holloway vs. The Korean Zombie"
45,3,2022-01-16,"Giga Chikadze","Calvin Kattar",Loss,"Decision - Unanimous",5,5:00,"UFC Fight Night: Kattar vs. Chikadze"
46,3,2021-08-29,"Giga Chikadze","Edson Barboza",Win,KO/TKO,3,1:44,"UFC Fight Night: Barboza vs. Chikadze"
47,3,2021-05-02,"Giga Chikadze","Cub Swanson",Win,KO/TKO,1,1:03,"UFC Fight Night: Reyes vs. Prochazka"
48,3,2020-11-08,"Giga Chikadze","Jamey Simmons",Win,KO/TKO,1,3:51,"UFC Fight Night: Santos vs. Teixeira"
49,3,2020-10-11,"Giga Chikadze","Omar Morales",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Moraes vs. Sandhagen"
50,3,2020-05-17,"Giga Chikadze","Irwin Rivera",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Overeem vs. Harris"
51,3,2020-03-08,"Giga Chikadze","Jamall Emmers",Win,"Decision - Split",3,5:00,"UFC 248: Adesanya vs. Romero"
52,3,2019-09-28,"Giga Chikadze","Brandon Davis",Win,"Decision - Split",3,5:00,"UFC Fight Night: Hermansson vs. Cannonier"
53,3,2019-03-24,"Giga Chikadze","Damien Manzanares",Win,KO/TKO,1,0:51,"Gladiator Challenge: MMA World Championships"
54,3,2018-08-12,"Giga Chikadze","C.J. Baines",Win,"Submission (Armbar)",1,0:12,"Gladiator Challenge: Summer Showdown"
55,3,2018-06-20,"Giga Chikadze","Austin Springer",Loss,Submission,3,4:10,"Dana White's Contender Series: Season 2, Week 2"
56,3,2018-04-21,"Giga Chikadze","Kevin Ceron",Win,"TKO (Punches)",1,2:37,"Gladiator Challenge: MMA Fighting Championship"
57,3,2017-12-16,"Giga Chikadze","Kevin Gratts",Win,"KO (Punch)",1,1:17,"Gladiator Challenge: Season's Beatings"
58,3,2017-06-10,"Giga Chikadze","Julian Hernandez",Win,"TKO (Punches)",1,0:49,"Gladiator Challenge: Summer Feud"
59,3,2017-03-25,"Giga Chikadze","Anthony Ross",Win,TKO,1,0:10,"Gladiator Challenge: Absolute Beatdown"
60,3,2016-12-17,"Giga Chikadze","Joe Bear",Win,"TKO (Retirement)",1,1:50,"Gladiator Challenge: Season's Beatings"
61,3,2015-12-18,"Giga Chikadze","Gil Guardado",Loss,"Decision - Unanimous",3,5:00,"WSOF 26: Palmer vs. Almeida"
62,4,2025-08-10,"Roman Dolidze","Anthony Hernandez",Loss,Submission,4,2:45,"UFC Fight Night: Dolidze vs. Hernandez"
63,4,2025-03-16,"Roman Dolidze","Marvin Vettori",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Vettori vs. Dolidze 2"
64,4,2024-10-06,"Roman Dolidze","Kevin Holland",Win,KO/TKO,1,5:00,"UFC 307: Pereira vs. Rountree Jr."
65,4,2024-06-30,"Roman Dolidze","Anthony Smith",Win,"Decision - Unanimous",3,5:00,"UFC 303: Pereira vs. Procházka 2"
66,4,2024-02-04,"Roman Dolidze","Nassourdine Imavov",Loss,"Decision - Majority",5,5:00,"UFC Fight Night: Dolidze vs. Imavov"
67,4,2023-03-18,"Roman Dolidze","Marvin Vettori",Loss,"Decision - Unanimous",3,5:00,"UFC 286: Edwards vs. Usman 3"
68,4,2022-12-04,"Roman Dolidze","Jack Hermansson",Win,KO/TKO,2,4:06,"UFC Fight Night: Thompson vs. Holland"
69,4,2022-10-30,"Roman Dolidze","Phil Hawes",Win,KO/TKO,1,4:09,"UFC Fight Night: Kattar vs. Allen"
70,4,2022-06-19,"Roman Dolidze","Kyle Daukaus",Win,KO/TKO,1,1:13,"UFC Fight Night: Kattar vs. Emmett"
71,4,2021-06-06,"Roman Dolidze","Laureano Staropoli",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Rozenstruik vs. Sakai"
72,4,2021-03-21,"Roman Dolidze","Trevin Giles",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Brunson vs. Holland"
73,4,2020-12-06,"Roman Dolidze","John Allan",Win,"Decision - Split",3,5:00,"UFC Fight Night: Hermansson vs. Vettori"
74,4,2020-07-19,"Roman Dolidze","Khadis Ibragimov",Win,KO/TKO,1,4:15,"UFC Fight Night: Figueiredo vs. Benavidez 2"
75,4,2018-12-15,"Roman Dolidze","Michal Pasternak",Win,KO/TKO,3,3:00,"WWFC 13: World Warriors Fighting Championship 13"
76,4,2018-06-16,"Roman Dolidze","Eder de Souza",Win,KO/TKO,2,3:36,"WWFC 11: World Warriors Fighting Championship 11"
77,4,2017-12-14,"Roman Dolidze","Amirali Joroev",Win,KO/TKO,1,3:34,"WWFC: Cage Encounter 9"
78,4,2017-06-14,"Roman Dolidze","Ilyas Abdullaev",Win,"Submission (Rear Naked Choke)",1,1:21,"WWFC: Cage Encounter 7"
79,4,2017-03-29,"Roman Dolidze","Remi Delcampe",Win,"Submission (Heel Hook)",1,0:56,"WWFC: Cage Encounter 6"
80,4,2016-12-09,"Roman Dolidze","Alexander Kovbel",Win,"Submission (Heel Hook)",1,0:42,"RFP: West Fight 23"
81,5,2025-02-09,"Aleksandre Topuria","Colby Thicknesse",Win,"Decision - Unanimous",3,5:00,"UFC 312: Du Plessis vs. Strickland 2"
82,5,2023-05-20,"Aleksandre Topuria","Johan Segas",Win,KO/TKO,1,1:27,"WOW 9: Way of Warriors FC"
83,5,2022-03-12,"Aleksandre Topuria","Alberto Ibanez",Win,KO/TKO,1,1:54,"WAR MMA 1: World Athlete Radical"
84,5,2021-12-08,"Aleksandre Topuria","Lucas Tenorio",Win,KO/TKO,1,1:48,"HDH: Hombres de Honor 110"
85,5,2015-05-29,"Aleksandre Topuria","Ivo Ivanov",Loss,KO/TKO,3,4:10,"MFE: Mix Fight Events"
86,5,2015-05-09,"Aleksandre Topuria","Alejandro Rumin",Win,"Submission (Rear Naked Choke)",1,2:59,"Climent Club: Climent Show MMA 4"
87,5,2015-04-04,"Aleksandre Topuria","Andrew Braulio Lazaro Chiguano",Win,"Submission (Armbar)",1,1:30,"WCW: West Coast Warriors"
88,6,2019-11-15,"Levan Makashvili","Attila Korkmaz",Win,"Decision - Unanimous",3,5:00,"ACA 101: Warsaw"
89,6,2017-03-31,"Levan Makashvili","Jack McGann",Win,"Decision - Unanimous",3,5:00,"FNG: Fight Nights Global 62"
90,6,2016-11-16,"Levan Makashvili","Rasul Mirzaev",Win,"Decision - Unanimous",3,5:00,"EFN: Fight Nights Global 54"
91,6,2016-09-23,"Levan Makashvili","Sean Soriano",Win,"Submission (Rear Naked Choke)",2,4:05,"CES MMA 38: Soriano vs. Makashvili"
92,6,2016-06-10,"Levan Makashvili","Ryan Sanders",Win,"Decision - Unanimous",3,5:00,"CES MMA 36: Andrews vs. Muro"
93,6,2016-01-31,"Levan Makashvili","Damon Jackson",Draw,Draw,3,5:00,"UFC Fight Night: Johnson vs. Bader"
94,6,2015-06-28,"Levan Makashvili","Hacran Dias",Loss,"Decision - Split",3,5:00,"UFC Fight Night: Machida vs. Romero"
95,6,2015-05-16,"Levan Makashvili","Mark Eddiva",Win,"Decision - Split",3,5:00,"UFC Fight Night: Edgar vs. Faber"
96,6,2014-12-13,"Levan Makashvili","Alexandre Bezerra",Win,"Decision - Unanimous",3,5:00,"CFFC 44: Bezerra vs Makashvili 2"
97,6,2014-08-09,"Levan Makashvili","Alexandre Bezerra",Loss,"Decision - Majority",5,5:00,"CFFC 38: Felder vs. Johnson"
98,6,2014-04-26,"Levan Makashvili","Scott Heckman",Win,"TKO (Punches)",4,2:30,"CFFC 35: Heckman vs Makashvili"
99,6,2014-02-22,"Levan Makashvili","Jordan Stiner",Win,"Decision - Unanimous",3,5:00,"CFFC 32: Stripling vs Anyanwu"
100,6,2013-09-20,"Levan Makashvili","Tom English",Win,"KO (Punch)",2,1:39,"ROC 46: Ring of Combat 46"
101,6,2013-04-13,"Levan Makashvili","Thomas Wash",Win,"TKO (Punches)",1,0:17,"TWEF: Turf Wars 11"
102,6,2013-04-05,"Levan Makashvili","Anthony Facchini",Win,"Decision - Unanimous",3,4:00,"ROC 44: Ring of Combat 44"
103,6,2012-11-16,"Levan Makashvili","Levan Kveselava",Win,TKO,1,2:05,"GUFF: Determination"
104,6,2012-08-06,"Levan Makashvili","Garik Abriamiani",Win,TKO,3,1:11,"GUFF: Batubi Circus"
105,6,2011-09-22,"Levan Makashvili","Giorgi Aptsiauri",Win,"Decision - Unanimous",3,3:00,"GUFF: Georgian Universal Fighting Federation"
106,6,2011-09-17,"Levan Makashvili","Giorgi Turashvili",Win,TKO,1,0:51,"GUFF: Georgian Universal Fighting Federation"
107,7,2025-03-22,"Guram Kutateladze","Kauê Fernandes",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Edwards vs. Brady"
108,7,2024-08-03,"Guram Kutateladze","Jordan Vucenic",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Sandhagen vs. Nurmagomedov"
109,7,2023-07-02,"Guram Kutateladze","Elves Brener",Loss,KO/TKO,3,3:17,"UFC Fight Night: Strickland vs. Magomedov"
110,7,2022-06-19,"Guram Kutateladze","Damir Ismagulov",Loss,"Decision - Split",3,5:00,"UFC Fight Night: Kattar vs. Emmett"
111,7,2020-10-18,"Guram Kutateladze","Mateusz Gamrot",Win,"Decision - Split",3,5:00,"UFC Fight Night: Ortega vs. The Korean Zombie"
112,7,2019-11-15,"Guram Kutateladze","Felipe Silva",Win,KO/TKO,1,0:44,"Brave CF 29"
113,7,2018-12-01,"Guram Kutateladze","Guilherme Cadena",Win,KO/TKO,1,3:00,"Superior Challenge 18: Fitness Festivalen"
114,7,2018-09-21,"Guram Kutateladze","Erick da Silva",Win,"Decision - Unanimous",3,5:00,"Brave CF 16"
